id,label,kind,edges,confirmed,inferred,confirmed_share
kas,Konrad Adenauer Stiftung Inc (KAS),org,1,1,0,100%
ghost_officers,Ghost Officers (5 unidentified signers),concept,1,1,0,100%
goodwin,Alicia Thilani Singham Goodwin,person,1,0,1,0%
grenyion,Kristen Grenyion,person,1,0,1,0%
hamby,Ryan Hamby,person,1,0,1,0%
minsap,MINSAP (Cuban Health Ministry),org,1,1,0,100%
rhc,Radio Havana Cuba / Prensa Latina / Granma,org,1,1,0,100%
c3misc,Affiliated 501(c)(3),org,1,1,0,100%
seal,ICAP 65th-Anniversary Seal,concept,1,1,0,100%
janequine,Olivia Goncalves Janequine,person,1,1,0,100%
jonathan_raggett,Jonathan 'Jonny' Raggett,person,1,1,0,100%
krouth,Kristine Teresa Krouth,person,1,1,0,100%
pwa,People's Welfare Association,org,1,1,0,100%
luvela,Smangele Luvela,person,1,1,0,100%
ev_caracas_antifa_2024,Antifascist Congress of Caracas (Nov 28 2024),concept,1,1,0,100%
maura,Eduardo Maura,person,1,1,0,100%
podemos,Podemos,org,1,1,0,100%
mcalevey,Jane McAlevey,person,1,1,0,100%
