edge_idx,source,target,relation,confidence,slices,domain,url
671,singham_shanti,china,foreign_tie,inferred,singham-spine,jewishinsider.com,https://jewishinsider.com/2026/03/neville-roy-singham-family-embedded-zohran-mamdani/
672,souers,ev_vz_election_2024,accompanied,confirmed,latam-solidarity,consortiumnews.com,https://consortiumnews.com/2024/07/30/venezuela-as-us-leaders-call-fraud-us-observers-endorse-results/
673,stein,iran,foreign_tie,confirmed,iran-network,adl.org,https://www.adl.org/resources/backgrounder/jewish-voice-peace-jvp
674,stein,jvp,affiliation,confirmed,iran-network,adl.org,https://www.adl.org/resources/backgrounder/jewish-voice-peace-jvp
675,sunkara,dsa,member,inferred,rls-germany,en.wikipedia.org,https://en.wikipedia.org/wiki/Democratic_Socialists_of_America
676,sunkara,jacobin,founder,confirmed,rls-germany,rosalux.nyc,https://rosalux.nyc/2026-ellen-meiksins-wood-lecture/
677,sunkara,rls_nyc,lecturer,confirmed,rls-germany,rosalux.nyc,https://rosalux.nyc/2026-ellen-meiksins-wood-lecture/
678,svart,dsa,director,confirmed,rls-germany,en.wikipedia.org,https://en.wikipedia.org/wiki/Democratic_Socialists_of_America
679,svart,rls_nyc,participant,inferred,rls-germany,keywiki.org,https://keywiki.org/Mapping_Socialist_Strategies
680,syriza,pel,member,confirmed,rls-germany,en.wikipedia.org,https://en.wikipedia.org/wiki/Party_of_the_European_Left
681,taylor,jef,member,confirmed,singham-spine,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/824975378
682,tfa,ev_antifa_festival_2025,attended,inferred,latam-solidarity,venezuelasolidaritynetwork.org,https://www.venezuelasolidaritynetwork.org/01282025
683,tfa,ev_vz_election_2024,endorsed,confirmed,latam-solidarity,peoplesforum.org,https://peoplesforum.org/venezuela-elections
685,tighe_barry,codepink,affiliation,confirmed,iran-network,trtworld.com,https://www.trtworld.com/magazine/american-activist-from-vietnam-to-gaza-war-my-government-lies-to-me-18204641
686,tighe_barry,iran,foreign_tie,confirmed,iran-network,codepink.org,https://www.codepink.org/2_us_citizens_participate_in_iranian_peace_boat_to_stop_saudi_attacks_on_yemen
687,tighe_barry,iranian_red_crescent,attended_delegation,confirmed,iran-network,codepink.org,https://www.codepink.org/2_us_citizens_participate_in_iranian_peace_boat_to_stop_saudi_attacks_on_yemen
688,tricontinental,ipa,anchors,confirmed,latam-solidarity,en.wikipedia.org,https://en.wikipedia.org/wiki/International_Peoples%27_Assembly
689,ucf,pf,funds,confirmed,rls-germany,influencewatch.org,https://www.influencewatch.org/non-profit/the-peoples-forum/
690,trochowski,rls_berlin,director,confirmed,rls-germany,en.wikipedia.org,https://en.wikipedia.org/wiki/Rosa_Luxemburg_Foundation
691,uspc,ev_antifa_festival_2025,attended,confirmed,latam-solidarity,venezuelasolidaritynetwork.org,https://www.venezuelasolidaritynetwork.org/01282025
692,uspc,ev_vz_election_2024,observed,confirmed,latam-solidarity,icssmarx.org,https://icssmarx.org/venezuela-election-eye-witness-report-roger-d-harris-august-25-2024-1030-am-pacific-time/
693,valente,ev_maduro_inaug_2025,attended,confirmed,latam-solidarity,nodal.am,https://www.nodal.am/2025/01/venezuela-delegaciones-internacionales-asisten-a-la-investidura-de-nicolas-maduro/
694,valente,fsp,secretary,confirmed,latam-solidarity,nodal.am,https://www.nodal.am/2025/01/venezuela-delegaciones-internacionales-asisten-a-la-investidura-de-nicolas-maduro/
695,viq,hatuey,co_signatory,confirmed,hatuey,hatueyproject.org,https://www.hatueyproject.org/
696,viq,hub_andira_alves,associate,inferred,afgj-interlock,hatueyproject.org,https://www.hatueyproject.org/
697,viq,hub_leni_villag_mez_reeves,associate,inferred,afgj-interlock,hatueyproject.org,https://www.hatueyproject.org/
698,viq,hub_will_kohr,associate,inferred,afgj-interlock,hatueyproject.org,https://www.hatueyproject.org/
699,viq,marsh,associate,inferred,afgj-interlock,hatueyproject.org,https://www.hatueyproject.org/
702,wfdy,ev_wfys_2005,organized,confirmed,latam-solidarity,en.wikipedia.org,https://en.wikipedia.org/wiki/World_Festival_of_Youth_and_Students
703,wider,pf,member,inferred,singham-spine,peoplesforum.org,https://peoplesforum.org/instructor/phil-wider/
704,wider,jef,member,confirmed,singham-spine,peoplesforum.org,https://peoplesforum.org/instructor/phil-wider/
705,xiao,china,aligned,inferred,singham-spine,liberationschool.org,https://liberationschool.org/hong-kong-and-china/
708,yee,btm,member,inferred,singham-spine,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/845071181
709,yee,psl,editor,confirmed,hatuey,hatueyproject.org,https://www.hatueyproject.org/news/u-s-activists-deliver-60000-in-medical-aid-to-cuban-children-with-cancer/
710,pf,rub_hamas,justified,inferred,_mined,waysandmeans.house.gov,https://waysandmeans.house.gov/2025/09/04/chairman-smith-exposes-u-s-nonprofit-as-likely-ccp-funded-propaganda-arm-operating-under-tax-exempt-status/
711,psl,pf,network,inferred,_mined,adl.org,https://www.adl.org/resources/backgrounder/party-socialism-and-liberation-psl
