id,label,primary_slice,x,y,dist_own_centroid,z_within_slice,share_of_6_nearest_in_same_slice,knn_majority_slice
p_denver_justice_project,Denver Justice Project,afgj-projects,-1107,-222,1135,1.05,0.17,afgj-interlock
per_joan_donovan,Joan Donovan,afgj-interlock,487,-977,1133,1.0,0.17,afgj-projects
tricontinental,Tricontinental: Institute for Social Research,latam-solidarity,244,-963,1462,0.99,0.17,afgj-interlock
p_stop_mass_incarceration_network,Stop Mass Incarceration Network,afgj-interlock,-586,-870,1126,0.98,0.17,iran-network
p_miracle_for_mikeals_legacy_foundation,Miracle For Mikeals Legacy Foundation,afgj-projects,-935,-679,1107,0.94,0.17,afgj-interlock
rub_hamas,Hamas,rubio-cuba,1766,-645,1672,0.9,0.17,iran-network
p_adastra,AdAstra,afgj-interlock,951,-548,1096,0.89,0.17,iran-network
p_lupinewood,Lupinewood,afgj-projects,989,390,1094,0.89,0.17,afgj-interlock
vsn,Venezuela Solidarity Network,latam-solidarity,160,-889,1388,0.81,0.17,afgj-interlock
p_black_lives_matter_oklahoma_city,Black Lives Matter-Oklahoma City,afgj-interlock,-87,-991,1064,0.8,0.17,latam-solidarity
chung,David Sung Mo Chung,singham-spine,-905,-320,1043,0.79,0.17,afgj-interlock
gbi,General Baker Institute,singham-spine,-1036,209,1040,0.78,0.17,afgj-interlock
p_ta_ayush,Ta’ayush,afgj-projects,-1037,-115,1061,0.77,0.17,afgj-interlock
btm,BreakThrough News,singham-spine,-1013,360,1031,0.75,0.17,afgj-interlock
afgj,Alliance for Global Justice,afgj-interlock,1081,25,1040,0.73,0.17,afgj-projects
p_beef_relief,Beef Relief,afgj-projects,-715,-867,1047,0.72,0.17,iran-network
china,China (PRC),singham-spine,605,1009,1015,0.71,0.17,afgj-interlock
hub_autonomous_tenants_union,Autonomous Tenants Union,afgj-interlock,-492,-817,1031,0.7,0.17,hatuey
per_tamara_shapiro,Tamara Shapiro,afgj-interlock,554,-827,1029,0.7,0.17,latam-solidarity
p_black_trans_media,Black Trans Media,afgj-projects,-701,618,1038,0.68,0.17,afgj-interlock
p_united_students_against_sweatshops,United Students Against Sweatshops,afgj-interlock,-910,395,1008,0.63,0.17,rls-germany
hub_green_shadow_cabinet,Green Shadow Cabinet,afgj-interlock,-949,-54,998,0.61,0.17,rubio-cuba
anderson-figueroa,Jo Anderson-Figueroa,singham-spine,-870,-241,975,0.6,0.17,rubio-cuba
brease,Emily Brease,singham-spine,695,-496,974,0.6,0.17,rubio-cuba
arlen_gomez,Arlen Benjamin-Gomez,iran-network,-832,-837,1300,0.57,0.17,afgj-projects
p_ubuntu,UBUNTU,afgj-projects,816,-743,1005,0.56,0.17,iran-network
hub_trans_justice_funding,Trans Justice Funding Project,afgj-interlock,470,-800,965,0.51,0.17,latam-solidarity
p_refuse_fascism,Refuse Fascism,afgj-interlock,750,-592,966,0.51,0.17,rubio-cuba
rub_republic_of_new_afrika,Republic of New Afrika,rubio-cuba,-564,-763,1412,0.49,0.17,afgj-interlock
per_oren_robinson,Oren Robinson,afgj-interlock,632,-671,943,0.45,0.17,rubio-cuba
hu,Rachel Hu,singham-spine,413,1007,913,0.43,0.17,afgj-interlock
rub_international_may_day_brig,International May Day Brigade,rubio-cuba,-631,-647,1376,0.43,0.17,afgj-interlock
per_melina_abdullah,Melina Abdullah,afgj-interlock,869,-368,934,0.42,0.17,afgj-projects
p_reale_justice_network,Reale Justice Network,afgj-projects,123,838,968,0.42,0.17,afgj-interlock
brecht_forum,Brecht Forum,rls-germany,-104,965,1259,0.41,0.17,latam-solidarity
rub_p_opal_tometi,Opal Tometi,rubio-cuba,-907,-146,1357,0.4,0.17,afgj-interlock
gunther,Andreas Günther,rls-germany,-244,967,1249,0.39,0.17,afgj-interlock
brian_becker,Brian Becker,hatuey,-476,-730,1415,0.3,0.17,afgj-interlock
rub_haitian_women_for_haitian,Haitian Women for Haitian Refugees,rubio-cuba,-861,-69,1290,0.29,0.17,afgj-interlock
pel,Party of the European Left,rls-germany,-398,883,1171,0.22,0.17,singham-spine
rub_black_lives_matter_at_scho,Black Lives Matter at School,rubio-cuba,-860,207,1241,0.22,0.17,afgj-projects
p_honduras_solidarity_network,Honduras Solidarity Network,afgj-projects,379,-960,907,0.19,0.17,rubio-cuba
p_lo_eterno_media_collective,Lo Eterno Media Collective,afgj-projects,-744,-610,908,0.19,0.17,afgj-interlock
psl,Party for Socialism & Liberation,hatuey,-388,-731,1354,0.17,0.17,afgj-interlock
p_nicaragua_solidarity_fund,Nicaragua Solidarity Fund,afgj-projects,856,216,900,0.16,0.17,afgj-interlock
per_rebecca_heinegg,Rebecca Heinegg,afgj-interlock,-361,801,839,0.15,0.17,rls-germany
